City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
57,Mumford,GH,2021-12-11 17:10:20,5.2618,-0.759,82.96,72,87,10.22
58,Hastings,GB,2021-12-11 17:10:21,50.8552,0.5729,50.0,82,100,11.7
59,Esperance,AU,2021-12-11 17:10:21,-33.8667,121.9,60.96,76,0,12.5
60,Cape Town,ZA,2021-12-11 17:10:22,-33.9258,18.4232,72.09,57,71,4.0
61,Puerto Ayora,EC,2021-12-11 17:10:22,-0.7393,-90.3518,76.96,91,100,7.72
62,Upernavik,GL,2021-12-11 17:10:22,72.7868,-56.1549,0.75,93,100,11.45
63,Hovd,MN,2021-12-11 17:10:23,48.0056,91.6419,4.23,69,0,3.24
64,Kavali,IN,2021-12-11 17:10:23,14.9167,79.9833,76.26,85,0,7.96
65,Glyadyanskoye,RU,2021-12-11 17:10:23,54.9075,65.0883,5.22,95,88,7.0
66,Pangody,RU,2021-12-11 17:10:24,65.85,74.4859,-6.14,96,88,12.3
67,Provideniya,RU,2021-12-11 17:10:24,64.3833,-173.3,-6.79,80,99,9.4
68,Kapaa,US,2021-12-11 17:10:24,22.0752,-159.319,73.72,81,75,11.5
69,Jamestown,US,2021-12-11 17:08:16,42.097,-79.2353,63.72,83,90,7.0
70,Leh,IN,2021-12-11 17:06:09,34.1667,77.5833,5.13,48,35,3.02
71,Mahebourg,MU,2021-12-11 17:10:25,-20.4081,57.7,79.25,78,40,12.66
72,Faanui,PF,2021-12-11 17:10:25,-16.4833,-151.75,80.26,73,86,13.06
73,Hermanus,ZA,2021-12-11 17:10:25,-34.4187,19.2345,67.89,70,70,19.37
74,Miri,MY,2021-12-11 17:10:26,4.4148,114.0089,76.44,93,100,5.86
75,Beringovskiy,RU,2021-12-11 17:10:26,63.05,179.3167,-22.0,96,40,5.64
76,Klaksvik,FO,2021-12-11 17:10:26,62.2266,-6.589,45.52,75,100,22.39
77,Kiruna,SE,2021-12-11 17:10:27,67.8557,20.2251,11.32,92,90,2.3
78,Castro,BR,2021-12-11 17:10:27,-24.7911,-50.0119,83.5,32,75,6.2
79,Carberry,CA,2021-12-11 17:10:27,49.8689,-99.3602,17.65,85,15,12.88
80,Puri,IN,2021-12-11 17:10:28,19.8,85.85,73.92,68,16,9.44
81,Schuttorf,DE,2021-12-11 17:10:28,52.3167,7.2333,35.83,87,62,7.61
82,San Quintin,MX,2021-12-11 17:10:28,30.4833,-115.95,59.85,54,0,1.23
83,Lebu,CL,2021-12-11 17:10:29,-37.6167,-73.65,58.15,62,91,4.45
84,Vaini,TO,2021-12-11 17:10:29,-21.2,-175.2,75.36,94,40,3.44
85,Sadovoye,RU,2021-12-11 17:10:29,47.7764,44.5089,30.87,73,76,6.71
86,Yulara,AU,2021-12-11 17:10:30,-25.2406,130.9889,81.5,18,39,6.58
87,Qaanaaq,GL,2021-12-11 17:10:30,77.484,-69.3632,-4.0,66,36,6.38
88,Bukama,CD,2021-12-11 17:11:30,-9.2,25.85,75.43,76,76,6.24
89,Acapulco,MX,2021-12-11 17:11:31,16.8634,-99.8901,84.02,74,40,4.61
90,Coihaique,CL,2021-12-11 17:11:31,-45.5752,-72.0662,57.15,54,75,6.91
91,Naze,JP,2021-12-11 17:11:31,28.3667,129.4833,63.63,65,75,5.86
92,Ridgecrest,US,2021-12-11 17:10:16,35.6225,-117.6709,44.38,41,1,0.0
93,Norman Wells,CA,2021-12-11 17:11:32,65.282,-126.8329,-3.28,95,100,9.46
94,Vila Franca Do Campo,PT,2021-12-11 17:11:32,37.7167,-25.4333,70.2,81,33,14.2
95,Dudinka,RU,2021-12-11 17:11:32,69.4058,86.1778,-30.91,95,92,4.92
96,Erzin,TR,2021-12-11 17:11:33,36.9559,36.2,54.12,63,2,9.1
97,Ponta Do Sol,PT,2021-12-11 17:11:33,32.6667,-17.1,69.01,61,24,7.18
98,Thinadhoo,MV,2021-12-11 17:11:33,0.5333,72.9333,82.15,75,23,7.56
99,Save,BJ,2021-12-11 17:11:34,8.0425,2.486,94.1,16,84,1.77
100,Arraial Do Cabo,BR,2021-12-11 17:11:34,-22.9661,-42.0278,82.26,69,0,14.97
101,Key Largo,US,2021-12-11 17:06:59,25.0865,-80.4473,84.0,73,24,15.3
102,Nikolskoye,RU,2021-12-11 17:11:34,59.7035,30.7861,24.69,92,100,10.0
103,Coracao De Maria,BR,2021-12-11 17:11:35,-12.2333,-38.75,84.02,59,98,5.19
104,Victoria,HK,2021-12-11 17:07:46,22.2855,114.1577,69.94,84,1,1.99
105,Bud,US,2021-12-11 17:11:35,39.447,-86.1758,40.3,74,56,23.42
106,San Patricio,US,2021-12-11 17:11:36,28.017,-97.5169,66.29,30,37,24.79
107,Fukue,JP,2021-12-11 17:11:36,32.6881,128.8419,58.12,69,100,15.08
108,Olafsvik,IS,2021-12-11 17:11:36,64.8945,-23.7142,40.15,81,100,20.98
109,Tasiilaq,GL,2021-12-11 17:11:36,65.6145,-37.6368,39.36,67,100,15.7
110,Bathsheba,BB,2021-12-11 17:11:37,13.2167,-59.5167,84.81,70,75,21.85
111,Bubaque,GW,2021-12-11 17:11:37,11.2833,-15.8333,81.43,68,70,12.41
112,Mahibadhoo,MV,2021-12-11 17:11:37,3.7833,72.9667,81.64,80,60,12.08
113,Bambous Virieux,MU,2021-12-11 17:11:38,-20.3428,57.7575,79.21,78,40,12.66
114,Nehe,CN,2021-12-11 17:11:38,48.4833,124.8333,11.03,79,100,13.71
115,Sokoni,TZ,2021-12-11 17:11:39,-6.4333,39.55,80.65,76,32,12.73
116,Lerwick,GB,2021-12-11 17:11:39,60.1545,-1.1494,46.4,88,100,26.69
117,Teya,RU,2021-12-11 17:11:39,60.3778,92.6267,13.05,88,100,9.19
118,Port Blair,IN,2021-12-11 17:11:39,11.6667,92.75,80.58,75,82,12.1
119,Mataura,NZ,2021-12-11 17:11:40,-46.1927,168.8643,44.47,81,28,1.48
120,Nouakchott,MR,2021-12-11 17:11:40,18.0858,-15.9785,93.13,23,85,10.6
121,Baie-Saint-Paul,CA,2021-12-11 17:11:40,47.4411,-70.4986,35.06,89,100,3.0
122,Kayanga,TZ,2021-12-11 17:11:41,-1.5303,31.1511,63.73,82,88,1.34
123,Havelock,US,2021-12-11 17:11:41,34.8791,-76.9013,77.05,86,74,11.01
124,Upington,ZA,2021-12-11 17:11:42,-28.4478,21.2561,92.1,9,2,4.25
125,Bundaberg,AU,2021-12-11 17:11:42,-24.85,152.35,73.22,91,40,3.0
126,Coquimbo,CL,2021-12-11 17:11:42,-29.9533,-71.3436,67.73,59,20,11.5
127,Tezu,IN,2021-12-11 17:11:43,27.9167,96.1667,60.49,58,0,4.09
128,Bilibino,RU,2021-12-11 17:11:43,68.0546,166.4372,-40.97,100,56,3.06
129,Juybar,IR,2021-12-11 17:11:43,36.6412,52.9124,56.05,84,43,4.12
130,Tabas,IR,2021-12-11 17:11:44,33.5959,56.9244,56.37,34,4,5.17
131,Alamogordo,US,2021-12-11 17:11:44,32.8995,-105.9603,58.57,40,1,1.01
132,Ormara,PK,2021-12-11 17:11:44,25.2088,64.6357,73.76,51,50,8.43
133,Biu,NG,2021-12-11 17:11:45,10.6129,12.1946,79.7,18,33,6.67
134,Haines Junction,CA,2021-12-11 17:11:45,60.7522,-137.5108,4.28,97,100,4.52
135,Puerto Penasco,MX,2021-12-11 17:12:45,31.3167,-113.5333,58.91,37,0,11.01
136,Kodiak,US,2021-12-11 17:12:46,57.79,-152.4072,17.11,45,1,21.85
137,Shizunai,JP,2021-12-11 17:12:46,42.3339,142.3669,42.66,72,61,7.9
138,Khatanga,RU,2021-12-11 17:09:47,71.9667,102.5,-41.3,99,63,5.57
139,Tierra Colorada,MX,2021-12-11 17:12:46,17.1667,-99.5833,81.16,61,17,3.56
140,Armidale,AU,2021-12-11 17:12:47,-30.5167,151.65,51.39,93,84,5.73
141,Araguacu,BR,2021-12-11 17:12:47,-12.9306,-49.8264,81.93,78,98,5.5
142,Longyearbyen,SJ,2021-12-11 17:12:47,78.2186,15.6401,31.84,80,90,17.27
143,Airai,TL,2021-12-11 17:12:48,-8.9266,125.4092,62.55,93,99,0.78
144,General Roca,AR,2021-12-11 17:12:48,-39.0333,-67.5833,86.63,19,97,26.24
