City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Dakar,SN,14.6937,-17.4441,90.48,45,75,2.3,broken clouds
120,Aklavik,CA,68.2191,-135.0107,0.32,91,100,22.66,overcast clouds
121,Hobart,AU,-42.8794,147.3294,51.66,79,4,1.01,clear sky
122,Yerofey Pavlovich,RU,53.9667,121.9667,-2.52,89,100,1.86,overcast clouds
123,Kungurtug,RU,50.5994,97.5228,-5.48,93,34,1.57,scattered clouds
124,Lahij,YE,13.1667,44.5833,71.78,62,1,6.85,clear sky
125,Cabo San Lucas,MX,22.8909,-109.9124,73.15,78,40,3.44,scattered clouds
126,Lodja,CD,-3.4833,23.4333,72.97,90,99,1.48,overcast clouds
127,Broome,US,42.2506,-75.833,43.05,49,1,5.01,clear sky
128,Dubai,AE,25.2582,55.3047,76.93,57,20,4.61,few clouds
129,Jiangyou,CN,31.7667,104.7167,47.43,76,100,4.72,overcast clouds
130,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,75,40,23.02,scattered clouds
131,Cayenne,GF,4.9333,-52.3333,82.44,86,75,1.99,light rain
132,Pacov,CZ,49.4708,15.0017,32.74,86,99,6.35,overcast clouds
133,Baheri,IN,28.7833,79.5,57.6,55,50,4.05,scattered clouds
134,Rio Grande,BR,-32.035,-52.0986,86.11,58,0,10.2,clear sky
135,Lasa,IT,46.6166,10.7002,38.28,77,21,8.43,few clouds
136,Otavi,NA,-19.65,17.3333,76.91,47,96,7.25,overcast clouds
137,Onega,RU,63.9061,38.1404,9.1,96,87,7.16,overcast clouds
138,Tasiilaq,GL,65.6145,-37.6368,37.56,68,100,28.7,overcast clouds
139,Severo-Kurilsk,RU,50.6789,156.125,32.58,96,100,12.5,light snow
140,Rawson,AR,-43.3002,-65.1023,73.47,20,1,21.27,clear sky
141,Mar Del Plata,AR,-38.0023,-57.5575,69.82,95,75,17.0,light rain
142,Iqaluit,CA,63.7506,-68.5145,10.13,67,75,0.0,broken clouds
143,Ribeira Grande,PT,38.5167,-28.7,59.4,55,40,12.66,scattered clouds
144,Gidam,IN,18.9833,81.4,63.82,66,62,2.77,broken clouds
145,Kasempa,ZM,-13.4584,25.8338,81.54,30,82,4.79,broken clouds
146,Ilulissat,GL,69.2167,-51.1,21.22,68,75,8.05,broken clouds
147,Port-Cartier,CA,50.0334,-66.8654,30.74,70,63,23.78,broken clouds
148,Kahului,US,20.8947,-156.47,71.62,90,1,12.66,clear sky
149,Husavik,IS,66.0449,-17.3389,40.91,78,92,18.57,overcast clouds
150,Santa Rosa,PH,14.3122,121.1114,79.11,81,100,14.61,overcast clouds
151,Lyngseidet,NO,69.5763,20.2189,32.47,95,100,6.46,light snow
152,Luderitz,NA,-26.6481,15.1594,67.08,70,0,17.22,clear sky
153,Angoche,MZ,-16.2325,39.9086,81.48,76,2,15.43,clear sky
154,Moerai,PF,-22.4333,-151.3333,77.23,79,97,2.53,light rain
155,Tessalit,ML,20.1986,1.0114,79.18,7,9,5.55,clear sky
156,Camocim,BR,-2.9022,-40.8411,90.39,54,100,20.18,overcast clouds
157,Dawei,MM,14.0833,98.2,71.67,68,11,6.26,few clouds
158,Eslov,SE,55.8393,13.3039,40.24,96,100,5.7,light rain
159,Berlevag,NO,70.8578,29.0864,26.6,91,100,14.72,light snow
160,Egvekinot,RU,66.3167,-179.1667,-24.25,87,16,6.15,few clouds
161,Port Lincoln,AU,-34.7333,135.8667,60.15,80,59,15.86,broken clouds
162,Chuy,UY,-33.6971,-53.4616,81.73,47,1,9.26,clear sky
163,Sola,VU,-13.8833,167.55,81.39,78,100,16.6,light rain
164,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.59,69,90,36.82,overcast clouds
165,Clyde River,CA,70.4692,-68.5914,-17.66,97,21,3.96,few clouds
166,La Ronge,CA,55.1001,-105.2842,3.45,78,75,2.3,broken clouds
167,Cherskiy,RU,68.75,161.3,-42.77,100,48,2.24,scattered clouds
168,Sterling,US,39.0062,-77.4286,48.31,43,1,1.01,clear sky
169,Coihaique,CL,-45.5752,-72.0662,59.61,47,75,11.5,broken clouds
170,Bogatoye,RU,53.0601,51.3325,12.79,92,15,2.95,few clouds
171,Margate,GB,51.3813,1.3862,54.03,88,96,1.99,overcast clouds
172,Parfenyevo,RU,58.484,43.4088,11.43,92,63,6.15,broken clouds
173,Asfi,MA,32.2994,-9.2372,62.87,62,0,2.57,clear sky
174,Aksha,RU,50.2814,113.2867,5.47,87,100,3.8,overcast clouds
175,Bengkulu,ID,-3.8004,102.2655,75.85,91,94,3.98,moderate rain
176,Mogapinyana,BW,-22.3667,27.6,83.68,28,99,8.72,overcast clouds
177,Coahuayana,MX,18.7333,-103.6833,86.05,55,77,2.66,broken clouds
178,Sun City West,US,33.662,-112.3413,61.25,38,80,5.01,broken clouds
179,Faya,SA,18.3851,42.4509,60.91,34,7,5.7,clear sky
180,Faanui,PF,-16.4833,-151.75,80.35,73,63,10.83,broken clouds
181,Qaqortoq,GL,60.7167,-46.0333,18.1,86,9,5.95,clear sky
182,Atascadero,US,35.4894,-120.6707,47.25,53,10,0.96,clear sky
183,Sunndalsora,NO,62.6754,8.5515,39.85,89,99,10.09,overcast clouds
184,Tautira,PF,-17.7333,-149.15,80.62,77,24,8.66,light rain
185,Georgetown,MY,5.4112,100.3354,82.33,82,20,5.01,few clouds
186,San Vicente,AR,-26.6167,-54.1333,79.5,47,91,3.87,overcast clouds
187,Tukums,LV,56.9669,23.1553,31.35,96,100,4.25,overcast clouds
188,Torbay,CA,47.6666,-52.7314,57.27,93,90,37.98,light intensity drizzle
189,Andenes,NO,69.3143,16.1194,35.58,80,75,9.22,light rain
190,Jagatsinghapur,IN,20.2667,86.1667,70.16,71,16,5.41,few clouds
191,Kapaa,US,22.0752,-159.319,75.52,79,75,1.01,broken clouds
192,Alice Springs,AU,-23.7,133.8833,71.15,26,2,8.05,clear sky
193,Ostersund,SE,63.1792,14.6357,30.65,93,0,10.36,clear sky
194,Saint George,US,37.1041,-113.5841,50.54,80,1,0.0,clear sky
195,Jumla,NP,29.2747,82.1838,36.91,44,13,5.57,few clouds
196,Grand-Santi,GF,4.25,-54.3833,78.37,96,100,3.47,overcast clouds
197,Constitucion,CL,-35.3333,-72.4167,63.07,56,6,17.38,clear sky
198,Talnakh,RU,69.4865,88.3972,-23.8,89,100,1.77,overcast clouds
199,Deputatskiy,RU,69.3,139.9,-26.5,98,98,1.48,overcast clouds
200,Thio,NC,-21.6167,166.2167,84.16,82,100,4.72,light rain
201,Hofn,IS,64.2539,-15.2082,39.22,87,75,8.05,broken clouds
202,Grand Gaube,MU,-20.0064,57.6608,79.2,67,100,7.0,overcast clouds
203,Galle,LK,6.0367,80.217,77.88,84,99,4.43,overcast clouds
204,Dalbandin,PK,28.8947,64.4101,55.08,18,1,5.79,clear sky
205,Cam Ranh,VN,11.9214,109.1591,76.96,65,20,18.41,few clouds
206,Vila Velha,BR,-20.3297,-40.2925,91.35,63,40,11.99,scattered clouds
207,Gravdal,NO,68.1214,13.5031,37.29,70,75,4.61,broken clouds
208,Fort Nelson,CA,58.8053,-122.7002,-0.81,85,90,4.61,light snow
209,Souillac,MU,-20.5167,57.5167,79.18,65,75,11.5,broken clouds
210,Neuquen,AR,-38.9516,-68.0591,69.69,16,40,18.41,scattered clouds
211,Meulaboh,ID,4.1363,96.1285,77.11,90,94,4.85,overcast clouds
212,Avera,US,33.194,-82.5271,56.93,49,20,9.06,few clouds
213,Tura,IN,25.5198,90.2201,58.01,65,3,3.78,clear sky
214,Saldanha,ZA,-33.0117,17.9442,71.65,86,100,13.67,overcast clouds
215,Paamiut,GL,61.994,-49.6678,11.7,83,54,9.13,broken clouds
216,Mayo,US,38.8876,-76.5119,48.94,42,1,11.99,clear sky
217,Shieli,KZ,44.1667,66.75,38.37,96,100,3.71,overcast clouds
218,Praia,CV,14.9215,-23.5087,82.94,54,40,12.66,scattered clouds
219,Khatanga,RU,71.9667,102.5,-51.86,100,76,1.86,broken clouds
220,Salamanca,ES,40.8333,-6.0,52.0,76,13,2.06,few clouds
221,Stupino,RU,54.9008,38.0708,24.55,94,94,7.96,overcast clouds
222,Kyra,RU,49.5776,111.9753,4.33,88,100,3.56,overcast clouds
223,Gorontalo,ID,0.5412,123.0595,76.23,96,99,3.87,overcast clouds
224,Abu Samrah,SY,35.3029,37.1841,58.57,45,99,7.74,overcast clouds
225,Pangnirtung,CA,66.1451,-65.7125,-4.36,75,89,5.53,overcast clouds
226,Bitung,ID,1.4451,125.1824,77.85,82,92,7.67,overcast clouds
227,Tateyama,JP,34.9833,139.8667,56.1,65,10,17.02,clear sky
228,Katav-Ivanovsk,RU,54.7531,58.1956,5.5,94,8,3.22,clear sky
229,Ivnya,RU,51.0629,36.1343,28.31,74,95,13.44,overcast clouds
230,Axim,GH,4.8699,-2.2405,82.9,75,64,9.35,broken clouds
231,Banda Aceh,ID,5.5577,95.3222,79.43,78,18,11.18,few clouds
232,Sydney,AU,-33.8679,151.2073,62.11,76,75,1.01,broken clouds
233,Msanga,TZ,-6.05,36.0333,74.71,64,87,9.55,light rain
234,Nikolskoye,RU,59.7035,30.7861,22.91,97,97,5.21,overcast clouds
235,Abu Dhabi,AE,24.4667,54.3667,75.31,60,40,9.22,scattered clouds
236,Umrala,IN,21.8333,71.8167,75.29,45,0,8.08,clear sky
237,Hayesville,US,44.986,-122.9829,41.72,85,100,7.0,overcast clouds
238,Azangaro,PE,-14.9167,-70.2167,63.48,29,21,7.38,few clouds
239,Issoudun,FR,47.0,1.8333,49.69,93,90,2.3,overcast clouds
240,Tyup,KG,42.7276,78.3648,17.69,65,22,5.57,few clouds
241,Tres Arroyos,AR,-38.3739,-60.2798,78.22,26,100,9.08,overcast clouds
242,Kisangani,CD,0.5167,25.2,80.96,89,20,4.61,few clouds
243,Yulara,AU,-25.2406,130.9889,69.64,78,90,4.61,light rain
244,Bud,US,39.447,-86.1758,44.69,57,20,12.88,few clouds
245,Yeppoon,AU,-23.1333,150.7333,74.98,73,7,14.88,clear sky
246,Cuenca,EC,-2.8833,-78.9833,64.53,72,75,9.22,light rain
247,Beruwala,LK,6.4788,79.9828,79.74,82,100,5.79,overcast clouds
248,Aksu,CN,41.1231,80.2644,22.12,64,10,1.68,clear sky
249,Lebu,CL,-37.6167,-73.65,58.26,56,6,9.66,clear sky
250,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,74,73,18.77,broken clouds
251,Labuhan,ID,-6.8844,112.2051,78.71,86,56,9.26,broken clouds
252,Leshukonskoye,RU,64.8989,45.7622,13.66,89,99,7.02,overcast clouds
253,Te Anau,NZ,-45.4167,167.7167,45.09,93,79,0.98,broken clouds
254,Kudahuvadhoo,MV,2.6708,72.8944,80.42,80,100,14.23,overcast clouds
255,Coos Bay,US,43.3665,-124.2179,45.93,93,90,9.22,overcast clouds
256,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.97,95,100,0.92,overcast clouds
257,Airai,TL,-8.9266,125.4092,61.36,92,71,0.98,broken clouds
258,Sambava,MG,-14.2667,50.1667,76.87,83,100,8.28,light rain
259,Taltal,CL,-25.4,-70.4833,66.85,69,21,8.23,few clouds
260,Manggar,ID,-2.8833,108.2667,79.32,86,100,7.05,overcast clouds
261,Yerbogachen,RU,61.2767,108.0108,-27.65,97,98,7.63,overcast clouds
262,Pochinok,RU,54.4068,32.4407,33.78,98,100,11.77,overcast clouds
263,Bahile,PH,9.9995,118.7878,76.95,91,78,1.45,broken clouds
264,Khingansk,RU,49.1167,131.1833,-3.89,97,100,9.37,overcast clouds
265,Kamaishi,JP,39.2667,141.8833,39.74,68,77,17.92,broken clouds
266,Dong Hoi,VN,17.4833,106.6,71.83,82,95,16.31,overcast clouds
267,Trois-Rivieres,CA,46.3501,-72.5491,37.35,65,1,20.71,clear sky
268,Camacupa,AO,-12.0167,17.4833,65.86,93,71,5.08,light rain
269,Uige,AO,-7.6087,15.0613,70.09,97,85,4.18,heavy intensity rain
270,Jalu,LY,29.0331,21.5482,60.15,23,57,7.96,broken clouds
271,Bjorkelangen,NO,59.8848,11.5694,34.83,98,100,5.77,overcast clouds
272,Tiksi,RU,71.6872,128.8694,-21.3,100,95,1.61,overcast clouds
273,Laguna,US,38.421,-121.4238,53.44,87,90,1.01,mist
274,Vostok,RU,46.4856,135.8833,4.42,95,100,9.37,light snow
275,Mecca,SA,21.4267,39.8261,76.01,58,38,3.49,scattered clouds
276,Belaya Gora,RU,68.5333,146.4167,-46.55,99,97,0.65,overcast clouds
277,Flin Flon,CA,54.7682,-101.865,-0.56,85,20,4.61,few clouds
278,Ambon,ID,-3.6954,128.1814,82.06,80,99,5.17,overcast clouds
279,Horki,BY,54.2861,30.9842,35.2,98,100,10.31,light snow
280,Caapucu,PY,-26.2167,-57.2,87.4,42,88,6.17,overcast clouds
281,Birao,CF,10.2849,22.7882,82.31,22,71,6.08,broken clouds
282,Victoria,HK,22.2855,114.1577,69.33,66,10,8.99,clear sky
283,Kununurra,AU,-15.7667,128.7333,84.18,65,8,5.75,clear sky
284,Minatitlan,MX,17.9833,-94.5167,78.57,76,14,12.95,few clouds
285,Manaure,CO,11.7751,-72.4445,89.71,60,100,10.94,overcast clouds
286,Saint-Joseph,RE,-21.3667,55.6167,77.38,79,92,14.36,overcast clouds
287,Udachnyy,RU,66.4167,112.4,-44.55,71,99,4.32,overcast clouds
288,Kavieng,PG,-2.5744,150.7967,81.97,80,100,3.56,light rain
289,Gold Coast,AU,-28.0,153.4333,70.27,86,5,4.0,clear sky
290,Port Hardy,CA,50.6996,-127.4199,39.2,100,90,3.44,snow
291,Hobyo,SO,5.3505,48.5268,79.27,78,62,18.61,broken clouds
292,Kutum,SD,14.2,24.6667,73.47,17,92,7.05,overcast clouds
293,Visnes,NO,59.3556,5.2242,43.83,87,75,11.5,broken clouds
294,Homer,US,59.6425,-151.5483,13.87,83,1,0.0,clear sky
295,High Level,CA,58.5169,-117.136,-0.29,78,75,4.61,broken clouds
296,Gizo,SB,-8.103,156.8419,81.91,80,98,7.72,moderate rain
297,Camacha,PT,33.0833,-16.3333,65.53,94,40,6.91,light intensity drizzle
298,Roi Et,TH,15.75,103.75,75.51,62,55,16.42,broken clouds
299,Chokurdakh,RU,70.6333,147.9167,-30.42,95,100,1.68,overcast clouds
300,Pisco,PE,-13.7,-76.2167,70.02,78,75,6.91,broken clouds
301,Loukhi,RU,66.0764,33.0381,26.89,97,100,4.5,overcast clouds
302,Sitka,US,57.0531,-135.33,35.49,69,90,17.27,moderate rain
303,Svetlaya,RU,46.5389,138.3297,21.74,59,100,18.63,overcast clouds
304,Otradnoye,RU,59.7775,30.8181,23.09,97,97,5.1,overcast clouds
305,Drayton Valley,CA,53.2168,-114.9854,21.92,92,77,0.83,broken clouds
306,Kurilsk,RU,45.2333,147.8833,43.23,93,99,22.7,moderate rain
307,Grindavik,IS,63.8424,-22.4338,41.47,87,75,23.02,broken clouds
308,Liwale,TZ,-9.7667,37.9333,71.49,90,100,7.34,overcast clouds
309,Verkhoyansk,RU,67.5447,133.385,-35.72,100,97,0.51,overcast clouds
310,Oktyabrskoye,RU,43.0645,44.7417,28.54,100,90,8.95,mist
311,Mbaiki,CF,3.8678,17.9892,82.72,35,87,1.03,overcast clouds
312,Henties Bay,NA,-22.116,14.2845,64.85,76,1,11.41,clear sky
313,Topchikha,RU,52.8192,83.1185,1.98,95,96,6.87,overcast clouds
314,Borgarnes,IS,64.5383,-21.9206,43.18,86,100,11.1,light rain
315,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,86.05,52,0,9.62,clear sky
316,Labytnangi,RU,66.6572,66.4183,-8.68,96,29,2.75,scattered clouds
317,Dunmore East,IE,52.1514,-6.9861,54.77,77,40,25.32,scattered clouds
318,Honiara,SB,-9.4333,159.95,78.58,91,100,5.53,overcast clouds
319,Mandera,KE,3.9366,41.867,92.19,28,73,7.31,broken clouds
320,Itarema,BR,-2.9248,-39.9167,88.59,55,92,18.66,overcast clouds
321,Ancud,CL,-41.8697,-73.8203,58.53,66,91,14.18,overcast clouds
322,Tezu,IN,27.9167,96.1667,62.55,54,27,3.18,scattered clouds
323,Funadhoo,MV,6.15,73.2667,82.69,75,97,10.96,overcast clouds
324,Naze,JP,28.3667,129.4833,62.65,68,43,17.87,scattered clouds
325,Bidor,MY,4.1139,101.2884,78.78,92,95,2.75,overcast clouds
326,Codrington,AU,-38.2667,141.9667,59.43,49,10,8.66,clear sky
327,Mangan,IN,27.5167,88.5333,55.02,49,27,6.11,scattered clouds
328,Fairbanks,US,64.8378,-147.7164,-5.78,70,90,0.0,haze
329,Opmeer,NL,52.7067,4.9444,53.62,93,100,5.01,overcast clouds
330,Pemberton,CA,50.3164,-122.8027,35.46,94,99,2.59,overcast clouds
331,Hualmay,PE,-11.0964,-77.6139,72.37,72,32,10.25,scattered clouds
332,Road Town,VG,18.4167,-64.6167,82.49,88,40,10.36,scattered clouds
333,Shingu,JP,33.7333,135.9833,52.66,70,17,13.18,few clouds
334,Esperance,AU,-33.8667,121.9,51.64,60,62,7.74,broken clouds
335,Rebrikha,RU,53.0733,82.3408,-3.89,100,79,5.57,broken clouds
336,Kanturk,IE,52.1667,-8.9,54.81,88,100,26.87,overcast clouds
337,San-Pedro,CI,4.7485,-6.6363,82.53,73,13,8.12,few clouds
338,Dongying,CN,37.4564,118.4856,30.38,37,0,6.06,clear sky
339,Elat,IL,29.5581,34.9482,73.24,31,20,5.75,haze
340,Agadez,NE,19.75,10.25,68.45,9,17,6.96,few clouds
341,Cidreira,BR,-30.1811,-50.2056,75.7,70,7,9.42,clear sky
342,Bethel,US,41.3712,-73.414,46.47,45,1,3.0,clear sky
343,Caucaia,BR,-3.7361,-38.6531,92.07,64,40,21.85,scattered clouds
344,Kerman,IR,30.2832,57.0788,44.46,33,0,6.91,clear sky
345,Brae,GB,60.3964,-1.353,46.31,78,100,13.53,overcast clouds
346,Atasu,KZ,48.6814,71.6433,20.89,95,100,11.3,light snow
347,Lompoc,US,34.6391,-120.4579,60.13,83,1,4.61,clear sky
