City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
89,Itoman,JP,69.82,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
93,Weligama,LK,77.63,overcast clouds,5.9667,80.4167,Weligama Bay Resort
95,Carnarvon,AU,69.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
96,Carutapera,BR,89.15,scattered clouds,-1.195,-46.02,Lidera
99,Gat,IL,70.39,overcast clouds,31.61,34.7642,OlusHome
105,San Pedro,PH,78.35,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
108,Buala,SB,80.62,light rain,-8.145,159.5921,Maringe Lagoon Lodge
111,Port Moresby,PG,74.62,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
114,Touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
125,Cabo San Lucas,MX,73.15,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
128,Dubai,AE,76.93,few clouds,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
131,Cayenne,GF,82.44,light rain,4.9333,-52.3333,Hôtel Le Dronmi
134,Rio Grande,BR,86.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
140,Rawson,AR,73.47,clear sky,-43.3002,-65.1023,Hosteria Sampedro
141,Mar Del Plata,AR,69.82,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
145,Kasempa,ZM,81.54,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
148,Kahului,US,71.62,clear sky,20.8947,-156.47,Maui Seaside Hotel
150,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
153,Angoche,MZ,81.48,clear sky,-16.2325,39.9086,Guest House HESADA
154,Moerai,PF,77.23,light rain,-22.4333,-151.3333,Le Manotel
157,Dawei,MM,71.67,few clouds,14.0833,98.2,Hotel Dawei
162,Chuy,UY,81.73,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
163,Sola,VU,81.39,light rain,-13.8833,167.55,Leumerus Bungalows
175,Bengkulu,ID,75.85,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
177,Coahuayana,MX,86.05,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
180,Faanui,PF,80.35,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
184,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
185,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
186,San Vicente,AR,79.5,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
190,Jagatsinghapur,IN,70.16,few clouds,20.2667,86.1667,Arun Beura & Bros..
191,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
192,Alice Springs,AU,71.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
196,Grand-Santi,GF,78.37,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
200,Thio,NC,84.16,light rain,-21.6167,166.2167,La Ferme de Thio
202,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
203,Galle,LK,77.88,overcast clouds,6.0367,80.217,Amangalla
205,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
209,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
210,Neuquen,AR,69.69,scattered clouds,-38.9516,-68.0591,Hotel del Comahue
211,Meulaboh,ID,77.11,overcast clouds,4.1363,96.1285,Kost Pria
214,Saldanha,ZA,71.65,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
218,Praia,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
223,Gorontalo,ID,76.23,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
226,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
230,Axim,GH,82.9,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
231,Banda Aceh,ID,79.43,few clouds,5.5577,95.3222,Sulthan Hotel International
235,Abu Dhabi,AE,75.31,scattered clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
236,Umrala,IN,75.29,clear sky,21.8333,71.8167,Gopalwadi Balmndir
241,Tres Arroyos,AR,78.22,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
242,Kisangani,CD,80.96,few clouds,0.5167,25.2,Grand Ramela Hotel
243,Yulara,AU,69.64,light rain,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
245,Yeppoon,AU,74.98,clear sky,-23.1333,150.7333,Villa Mar Colina
247,Beruwala,LK,79.74,overcast clouds,6.4788,79.9828,The Palms Hotel
251,Labuhan,ID,78.71,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
254,Kudahuvadhoo,MV,80.42,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
256,Sao Felix Do Xingu,BR,77.97,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
258,Sambava,MG,76.87,light rain,-14.2667,50.1667,Melrose
260,Manggar,ID,79.32,overcast clouds,-2.8833,108.2667,Guest Hotel
263,Bahile,PH,76.95,broken clouds,9.9995,118.7878,Nitivos Beach Resort
266,Dong Hoi,VN,71.83,overcast clouds,17.4833,106.6,Nam Long Hotel
269,Uige,AO,70.09,heavy intensity rain,-7.6087,15.0613,Hotel Catraio
275,Mecca,SA,76.01,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
278,Ambon,ID,82.06,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
280,Caapucu,PY,87.4,overcast clouds,-26.2167,-57.2,Porton Estancia Santa Clara
282,Victoria,HK,69.33,clear sky,22.2855,114.1577,Mini Hotel Central
283,Kununurra,AU,84.18,clear sky,-15.7667,128.7333,Hotel Kununurra
284,Minatitlan,MX,78.57,few clouds,17.9833,-94.5167,Grand Regency Express
285,Manaure,CO,89.71,overcast clouds,11.7751,-72.4445,Hotel Palaaima
286,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
288,Kavieng,PG,81.97,light rain,-2.5744,150.7967,Nusa Island Retreat
289,Gold Coast,AU,70.27,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
291,Hobyo,SO,79.27,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
292,Kutum,SD,73.47,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
296,Gizo,SB,81.91,moderate rain,-8.103,156.8419,Imagination Island
298,Roi Et,TH,75.51,broken clouds,15.75,103.75,ภาคินเซียงกง
300,Pisco,PE,70.02,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
308,Liwale,TZ,71.49,overcast clouds,-9.7667,37.9333,Samoma lodge
311,Mbaiki,CF,82.72,overcast clouds,3.8678,17.9892,Motel MBM
315,Sao Lourenco Do Sul,BR,86.05,clear sky,-31.3653,-51.9783,Hotel Pousada Verde Água
318,Honiara,SB,78.58,overcast clouds,-9.4333,159.95,Heritage Park Hotel
320,Itarema,BR,88.59,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
323,Funadhoo,MV,82.69,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
325,Bidor,MY,78.78,overcast clouds,4.1139,101.2884,Hotel Bidor mk
331,Hualmay,PE,72.37,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
332,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
337,San-Pedro,CI,82.53,few clouds,4.7485,-6.6363,Hotel Maria
339,Elat,IL,73.24,haze,29.5581,34.9482,Club Hotel Eilat
341,Cidreira,BR,75.7,clear sky,-30.1811,-50.2056,Hotel Castelo
349,Pawa,PH,76.69,overcast clouds,13.1747,123.7328,Hotel St. Ellis
350,Lumut,MY,79.16,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
354,Padang,ID,77.45,overcast clouds,-0.9492,100.3543,Mercure Padang
357,Mananjary,MG,76.71,clear sky,-21.2167,48.3333,Vahiny Lodge
360,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
361,Pedasi,PA,81.9,few clouds,7.5333,-80.0333,Selina Pedasi
363,Vredendal,ZA,69.8,overcast clouds,-31.6683,18.5012,Tharrakamma Guest House
365,Kavaratti,IN,82.15,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
372,Bilma,NE,72.68,clear sky,18.6853,12.9164,Expeditions Ténére voyages
375,Kruisfontein,ZA,71.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
376,Chacabuco,AR,74.8,overcast clouds,-34.6417,-60.4739,Club de Pesca Caza y Balneario
382,El Alto,PE,78.46,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
389,Sorong,ID,82.27,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
390,Lorengau,PG,81.77,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
398,Wamba,NG,86.31,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
407,Kirakira,SB,81.27,overcast clouds,-10.4544,161.9205,SanBiz Lodge
408,San Rafael,AR,71.15,clear sky,-34.6177,-68.3301,Hotel San Rafael
411,Tuy Hoa,VN,72.3,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
412,Acarau,BR,88.86,overcast clouds,-2.8856,-40.12,castelo pizzaria
417,Palu,ID,75.63,broken clouds,-0.8917,119.8707,Hotel Santika Palu
418,Luena,AO,70.18,overcast clouds,-11.7833,19.9167,Hotel Kandamba
419,Champerico,GT,88.34,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
425,Port Blair,IN,79.65,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
426,Porbandar,IN,75.29,clear sky,21.6422,69.6093,Lords Inn Porbandar
429,Warangal,IN,71.65,broken clouds,18.0,79.5833,Supreme Hotels
433,Makakilo City,US,71.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
437,Murud,IN,76.86,scattered clouds,18.3258,72.965,On Point Plaza
438,Quatre Cocos,MU,78.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
443,Bandarbeyla,SO,77.32,clear sky,9.4942,50.8122,JABIR HOTEL
445,Sarangani,PH,83.86,broken clouds,5.4033,125.4636,Ballistic Islet
448,Kinablangan,PH,78.91,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
449,Namibe,AO,72.95,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
451,Bandundu,CD,70.88,overcast clouds,-3.3167,17.3667,Coja Color
453,Voh,NC,75.9,moderate rain,-20.9667,164.7,Le gîte du Koniambo
457,Kampot,KH,73.45,scattered clouds,10.6167,104.1833,Two Moons Hotel
460,Jaguarao,BR,87.69,clear sky,-32.5661,-53.3758,Hotel Rio's
464,Cururupu,BR,89.4,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
467,Laranjeiras Do Sul,BR,86.18,moderate rain,-25.4078,-52.4161,Hotel Palmeiras
474,Lauro Muller,BR,81.79,overcast clouds,-28.3928,-49.3967,Hotel Chaminé
478,Tabou,CI,82.67,scattered clouds,4.423,-7.3528,hotêl doufoulougou
479,Maceio,BR,89.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
